Name of GSA,Single or Multiple?,URL Extension,Joint Powers?,Notes,Source if extra research necessary,
Marina Coast Water District GSA - Monterey,Single,50,,,,
Santa Monica Basin GSA,Multiple,337,,,,
Ojai Basin Groundwater Management Agency GSA,Single,162,,,,
Santa Clarita Valley GSA,Multiple,315,,,,
Petaluma Valley GSA,Multiple,350,Y,,,
Atascadero Basin GSA,Multiple,296,,,,
Tehama County Flood Control and Water Conservation District GSA - Antelope,Single,422,,,,
Santa Rosa Plain GSA,Multiple,331,Y,,,
Tehama County Flood Control and Water Conservation District GSA - Bowman,Single,124,,,,
Tehama County Flood Control and Water Conservation District GSA - Los Molinos,Single,420,,,,
Tehama County Flood Control and Water Conservation District GSA - Red Bluff,Single,419,,,,
Olcese Water District GSA,Single,196,,,,
Rock Creek Reclamation District GSA,Single,178,,,,
County of Merced GSA - Chowchilla,Single,191,,,,
Mound Basin GSA,Multiple,354,Y,,,
West San Jacinto GSA,Single,28,,,,
Yuba Water Agency GSA - North Yuba,Single,413,,,,
Cordua Irrigation District GSA,Single,111,,,,
City of Marysville GSA,Single,133,,,,
Reclamation District No. 1004 GSA - Butte 2,Single,138,,,,
Pleasant Valley GSA,Single,190,,,,
County of Modoc GSA - Big Valley,Single,232,,,,
County of Lassen GSA,Single,240,,,,
Arroyo Seco GSA - 1,Multiple,261,,,,
Santa Margarita Groundwater Agency GSA,Multiple,338,,,,
Reclamation District No. 317 GSA,Single,381,,,,
Montecito Groundwater Basin GSA,Single,404,,,,
Big Valley GSA,Single,480,,,,
Wheeler Ridge-Maricopa GSA,Single,484,,,,
Arvin GSA,Single,481,,,,
County of Fresno GSA,Single,,,,,
Paso Basin - County of San Luis Obispo GSA,Single,322,,,,
Shandon - San Juan GSA,Single,319,,,,
County of Merced GSA - Delta-Mendota,Single,231,,,,
Sacramento County Groundwater Sustainability Agency - Cosumnes,Multiple,496,MOA giving power to multiple agencies,,,
Sacramento County Groundwater Sustainability Agency - Solano,Multiple,497,MOA giving power to multiple agencies,,,
Bear Valley Basin GSA,Multiple,328,Y,,,
Western Municipal Water District GSA - Riverside-Arlington,Single,275,,,,
Spadra Basin GSA,Multiple,212,MOA giving power to multiple agencies,,,
Tejon-Castac Water District GSA,Single,482,,,,
Arroyo Santa Rosa Basin GSA,Multiple,49,Y,,,
Fox Canyon Groundwater Management Agency GSA - Arroyo Santa Rosa Valley,Single,434,,,,
